ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07280;2013-06-01T14:00:00+02:00;101690;40;3;100;1.5;289.65;284.55;72;35000;0;;;100;;450;;;;99030;;;;;;;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-07-27T05:00:00+02:00;101010;-80;8;170;1.0;292.55;287.75;74;35000;0;;;100;;;;;;98390;;;;;;;;;;;;2.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-07-22T14:00:00+02:00;101500;-90;8;40;2.6;305.15;289.45;39;35000;0;;;;;;;;;98980;;;;;;;;;;;;5.100000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-08-02T20:00:00+02:00;101180;-10;5;160;3.1;302.25;286.85;39;40000;0;;;;;;;;;98640;;;;292.450000;;305.650000;;;;;;9.300000;-10;;0.000000;;;0.0;0.0;;0.0;;710.000000;1109.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;5;;0
07280;2013-08-05T20:00:00+02:00;101290;30;3;180;2.6;301.05;293.05;62;26000;0;;;;;;;;;98740;;;;292.450000;;304.850000;;;;;;4.100000;-10;;0.000000;;;0.0;0.0;;0.0;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-08-07T23:00:00+02:00;101390;120;1;200;1.5;290.75;289.05;90;35000;0;;;100;;1250;;;;98750;;;;;;;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-08-08T23:00:00+02:00;102230;190;3;300;3.1;289.85;285.95;78;45000;0;;;;;;;;;99550;;;;;;;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-08-05T02:00:00+02:00;101880;-100;8;320;2.1;292.65;288.75;78;40000;0;;;;;;;;;99240;;;;;;;;;;;;2.600000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-09-24T08:00:00+02:00;101780;-50;5;30;1.0;282.75;281.85;94;6000;0;;;;;;;;;99050;;;;282.650000;;290.750000;;281.150000;;;;1.500000;-10;0;0.000000;;;0.0;0.0;;0.0;0.0;710.000000;1102.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;5;;0
07280;2013-09-25T11:00:00+02:00;101350;50;1;150;2.1;290.05;287.15;83;16000;0;;;;;;;;;98700;;;;;;;;;;;;3.600000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
